Date;Number of deaths
01.01.2010;185648
01.02.2010;158924
01.03.2010;168909
01.04.2010;161943
01.05.2010;168815
01.06.2010;165324
01.07.2010;186614
01.08.2010;186533
01.09.2010;158261
01.10.2010;165725
01.11.2010;153424
01.12.2010;167163
01.01.2011;177242
01.02.2011;157228
01.03.2011;167908
01.04.2011;157612
01.05.2011;164475
01.06.2011;155968
01.07.2011;164415
01.08.2011;153371
01.09.2011;153033
01.10.2011;160951
01.11.2011;153781
01.12.2011;158437
01.01.2012;166916
01.02.2012;157336
01.03.2012;163322
01.04.2012;158594
01.05.2012;160584
01.06.2012;155467
01.07.2012;157178
01.08.2012;150872
01.09.2012;152703
01.10.2012;160827
01.11.2012;152005
01.12.2012;169485
01.01.2013;172251
01.02.2013;148541
01.03.2013;167826
01.04.2013;154815
01.05.2013;159299
01.06.2013;151566
01.07.2013;149254
01.08.2013;148496
01.09.2013;150834
01.10.2013;161043
01.11.2013;147423
01.12.2013;159545
01.01.2014;169783
01.02.2014;150465
01.03.2014;165472
01.04.2014;159462
01.05.2014;165369
01.06.2014;152632
01.07.2014;157064
01.08.2014;155153
01.09.2014;153804
01.10.2014;163822
01.11.2014;153290
01.12.2014;165146
01.01.2015;176228
01.02.2015;157992
01.03.2015;173158
01.04.2015;161325
01.05.2015;163223
01.06.2015;154926
01.07.2015;152903
01.08.2015;152087
01.09.2015;148589
01.10.2015;158062
01.11.2015;151417
01.12.2015;157813
01.01.2016;180373
01.02.2016;152776
01.03.2016;158922
01.04.2016;151970
01.05.2016;160856
01.06.2016;155169
01.07.2016;152902
01.08.2016;153064
01.09.2016;149475
01.10.2016;156536
01.11.2016;151429
01.12.2016;166783
01.01.2017;179661
01.02.2017;148949
01.03.2017;154249
01.04.2017;149870
01.05.2017;154726
01.06.2017;148579
01.07.2017;149683
01.08.2017;145964
01.09.2017;144354
01.10.2017;154386
01.11.2017;142761
01.12.2017;152176
01.01.2018;161958
01.02.2018;144023
01.03.2018;171425
01.04.2018;161146
01.05.2018;155301
01.06.2018;152014
01.07.2018;149816
01.08.2018;145249
01.09.2018;143146
01.10.2018;149597
01.11.2018;142703
01.12.2018;151446
01.01.2019;169384
01.02.2019;148904
01.03.2019;156394
01.04.2019;146553
01.05.2019;152835
01.06.2019;143950
01.07.2019;145462
01.08.2019;144109
01.09.2019;144440
01.10.2019;149789
01.11.2019;143262
01.12.2019;151895
01.01.2020;160553
01.02.2020;146875
01.03.2020;154486
01.04.2020;152070
01.05.2020;172793
01.06.2020;167961
01.07.2020;175952
01.08.2020;161174
01.09.2020;165291
01.10.2020;215209
01.11.2020;227899
01.12.2020;232291
01.01.2021;222203
01.02.2021;170047
01.03.2021;176551
01.04.2021;162658
01.05.2021;170837
01.06.2021;187962
01.07.2021;217893
01.08.2021;208278
01.09.2021;203488
01.10.2021;265636
01.11.2021;241687
01.12.2021;207873
01.01.2022;194926
01.02.2022;197571
01.03.2022;180462
01.04.2022;142535
01.05.2022;147324
01.06.2022;136652
01.07.2022;136058
01.08.2022;142272
01.09.2022;151241
01.10.2022;150628
01.11.2022;142134
01.12.2022;170026
